"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",84.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",84.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",84.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",85,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",85.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",84.5,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2007","2007",85.3,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",85.4,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",85.1,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",85.6,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",6.81229591369629,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",7.12416410446167,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2007","2007",7.23893022537231,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2008","2008",7.1049976348877,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2009","2009",7.21047639846802,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",7.27669715881348,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",7.46735763549805,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",7.85987567901611,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",8.74643135070801,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",8.84611797332764,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",9.36294364929199,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",11.4848203659058,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",12.4968557357788,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",12.0121879577637,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",12.2788219451904,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",11.6115760803223,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2022","2022",93.9841747283936,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_2","Time spent in social interactions","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",5.366,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",32.2878954814334,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","8_2","Voter turnout ","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",94.0652008056641,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",0.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",0.8,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2007","2007",0.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2008","2008",0.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2009","2009",0.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",0.8,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",0.8,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",0.8,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",0.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",0.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",0.8,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",0.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",0.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",0.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",0.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_1","Homicides","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",0.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2022","2022",50.5114853382111,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",7.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",7.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",7.2,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",12.9263207316399,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","4_1","Time off","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2006","2006",14.7792857142857,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2004","2004",78.1,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2005","2005",78.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2006","2006",78.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2007","2007",79,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2008","2008",79.2,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2009","2009",79.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2010","2010",79.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2011","2011",79.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2012","2012",79.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2013","2013",80.1,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2014","2014",80.3,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2015","2015",80.4,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2016","2016",80.4,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2017","2017",80.5,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2018","2018",80.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2019","2019",80.9,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_1","Life expectancy at birth","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2020","2020",81.2,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2004","2004",83.6,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2007","2007",84.4,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2011","2011",85.4,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2014","2014",85.4,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2017","2017",84.8,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2004","2004",22.4985408782959,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2006","2006",21.0121097564697,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2007","2007",21.1998805999756,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2008","2008",22.6792907714844,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2009","2009",22.2978687286377,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2010","2010",22.5453929901123,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2011","2011",22.5582580566406,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2012","2012",22.5777397155762,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2013","2013",23.1788024902344,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2014","2014",25.9072380065918,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2015","2015",27.0017738342285,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2016","2016",30.579984664917,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2017","2017",32.8374137878418,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2018","2018",32.6522827148438,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2019","2019",32.2929878234863,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2020","2020",31.3298740386963,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2010","2010",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2011","2011",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2012","2012",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2013","2013",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2014","2014",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2015","2015",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2016","2016",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2017","2017",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2018","2018",93.7935411930084,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","MALE","Men","TOT","Total population","TOT","Total population","2019","2019",93.7935411930084,,
